id,age,gender,hhold,htype,wp,urban,reindex,GEOID_cty,if_employed,household_id,family_size,tractid,countyid,personal_income,education,occupation,health_insurance,FINCP,HHT,num_children,_temp_grid,new_workplace,new_school,new_daycare
36013030100i184,22.0,m,36013030100h279,1.0,36013030100h279,True,2046267,36013,0,651,6,30100,13,32000.0,16.0,1.0,1.0,156780.0,1.0,3,1,wp_150_1,,
36013030100i196,27.0,m,36013030100h1413,10.0,36013030100h1413,True,2046386,36013,0,462,4,30100,13,36400.0,19.0,1.0,1.0,59200.0,10.0,0,1,wp_45_1,,
36013030100i218,57.0,m,36013030100h1304,10.0,36013030100h1304,True,2046604,36013,0,341,3,30100,13,18700.0,17.0,3.0,1.0,103200.0,10.0,0,1,wp_221_1,,
36013030100i228,24.0,m,36013030100h1344,10.0,36013036600w4,True,2046707,36013,1,385,2,30100,13,48000.0,16.0,5.0,1.0,63000.0,10.0,1,1,wp_192_1,,
36013030100i237,55.0,m,36013030100h286,1.0,36013030100h286,True,2046795,36013,0,659,4,30100,13,130000.0,21.0,1.0,1.0,168920.0,1.0,2,1,wp_171_1,,
36013030100i239,45.0,m,36013030100h272,1.0,36013030100h272,True,2046814,36013,0,644,4,30100,13,16500.0,16.0,1.0,1.0,104300.0,1.0,2,1,wp_89_1,,
36013030100i245,62.0,m,36013030100h1393,10.0,36013030100h1393,True,2046875,36013,0,439,3,30100,13,41900.0,16.0,1.0,1.0,150900.0,10.0,0,1,wp_177_1,,
36013030100i254,39.0,m,36013030100h290,1.0,36013030100h290,True,2046965,36013,0,664,4,30100,13,223000.0,12.0,7.0,1.0,338000.0,1.0,1,1,wp_45_1,,
36013030100i264,61.0,f,36013030100h1260,9.0,36029010807w3,True,2047065,36013,1,292,3,30100,13,60000.0,21.0,1.0,1.0,127660.0,9.0,2,1,wp_62_1,,
36013030100i278,54.0,f,36013030100h1177,9.0,36013030100h1177,True,2047201,36013,0,199,3,30100,13,40000.0,20.0,1.0,1.0,183400.0,9.0,2,1,wp_238_1,,
36013030100i300,71.0,m,36013030100h527,3.0,36013030300w22,True,2047422,36013,1,927,5,30100,13,1200.0,17.0,8.0,1.0,117000.0,3.0,3,1,,,
36013030100i306,69.0,f,36013030100h113,0.0,36013030100h113,True,2047482,36013,0,147,2,30100,13,32360.0,18.0,1.0,1.0,187610.0,0.0,0,1,,,
36013030100i316,15.0,m,36013030100h366,1.0,36013030100s1,True,2047582,36013,0,748,7,30100,13,1200.0,13.0,1.0,1.0,174310.0,1.0,5,1,,"sc_13_('high',)",
36013030100i334,63.0,m,36013030100h598,4.0,36013030600w6,True,2047765,36013,1,1005,1,30100,13,70000.0,19.0,4.0,1.0,70000.0,4.0,0,1,wp_28_1,,
36013030100i348,57.0,f,36013030100h215,0.0,36013030100h215,True,2047843,36013,0,581,2,30100,13,14990.0,21.0,1.0,1.0,70990.0,0.0,0,1,wp_143_1,,
36013030100i383,80.0,f,36013030100h1233,9.0,36013030100h1233,True,2047878,36013,0,262,2,30100,13,11000.0,16.0,3.0,1.0,15000.0,9.0,1,1,,,
36013030100i391,63.0,f,36013030100h1449,10.0,36013030100h1449,True,2047886,36013,0,501,2,30100,13,52800.0,20.0,1.0,1.0,117800.0,10.0,0,1,wp_12_1,,
36013030100i394,89.0,f,36013030100h310,1.0,36013030100h310,True,2047889,36013,0,687,5,30100,13,51700.0,21.0,2.0,1.0,186600.0,1.0,2,1,,,
36013030100i395,86.0,f,36013030100h526,3.0,36063021700w62,True,2047890,36013,1,926,5,30100,13,45910.0,16.0,2.0,1.0,155610.0,3.0,3,1,,,
36013030100i402,46.0,f,36013030100h143,0.0,36013030100h143,True,2047897,36013,0,480,4,30100,13,26000.0,16.0,2.0,1.0,141000.0,0.0,0,1,wp_170_1,,
36013030100i405,17.0,f,36013030100h496,3.0,36013030500s0,True,2047900,36013,0,892,6,30100,13,4000.0,14.0,1.0,1.0,41850.0,3.0,4,1,,"sc_13_('high',)",
36013030100i409,4.0,f,36013030100h1189,9.0,36013030100d0,True,2047903,36013,0,212,2,30100,13,39000.0,20.0,1.0,1.0,52000.0,9.0,1,1,,,dc_31_1
36013030100i414,74.0,f,36013030100h1263,9.0,36013030100h1263,True,2047908,36013,0,295,2,30100,13,14600.0,16.0,7.0,1.0,15100.0,9.0,1,1,,,
36013030100i423,4.0,m,36013030100h279,1.0,36013030100d0,True,2047918,36013,0,651,6,30100,13,19480.0,15.0,2.0,1.0,156780.0,1.0,3,1,,,dc_3_1
36013030100i433,32.0,m,36013030100h419,2.0,36013030100h419,True,2047927,36013,0,807,3,30100,13,28000.0,19.0,1.0,1.0,76400.0,2.0,0,1,wp_186_1,,
36013030100i447,7.0,f,36013030100h299,1.0,36013030100s0,True,2047939,36013,0,673,4,30100,13,60000.0,20.0,1.0,1.0,155800.0,1.0,2,1,,"sc_4_('elementary',)",
36013030100i479,32.0,f,36013030100h1411,10.0,36029009112w553,True,2047974,36013,1,460,4,30100,13,22000.0,19.0,1.0,1.0,66300.0,10.0,0,1,wp_157_1,,
36013030100i500,19.0,f,36013030100h1385,10.0,36009961100w10,True,2047995,36013,1,430,2,30100,13,16400.0,21.0,1.0,1.0,26400.0,10.0,0,1,wp_0_1,,
36013030100i508,5.0,f,36013030100h1260,9.0,36013030100s0,True,2048002,36013,0,292,3,30100,13,67660.0,19.0,5.0,1.0,127660.0,9.0,2,1,,,
36013030100i516,49.0,m,36013030100h299,1.0,36013037300w34,True,2048011,36013,1,673,4,30100,13,72000.0,20.0,1.0,1.0,155800.0,1.0,2,1,wp_134_1,,
36013030100i537,87.0,f,36013030100h538,3.0,36013030100h538,True,2048032,36013,0,939,3,30100,13,26500.0,18.0,5.0,1.0,59000.0,3.0,1,1,,,
36013030100i554,55.0,m,36013030100h175,0.0,36029009007w157,True,2048049,36013,1,536,2,30100,13,51000.0,21.0,2.0,1.0,149000.0,0.0,0,1,wp_123_1,,
36013030100i560,10.0,m,36013030100h298,1.0,36013030100s0,True,2048055,36013,0,672,4,30100,13,29000.0,17.0,1.0,1.0,126300.0,1.0,1,1,,"sc_7_('elementary',)",
36013030100i569,18.0,m,36013030100h1386,10.0,36013037100w22,True,2048062,36013,1,431,5,30100,13,18000.0,16.0,1.0,2.0,98400.0,10.0,0,1,wp_65_1,"sc_13_('high',)",
36013030100i570,15.0,m,36013030100h847,6.0,36013030500s0,True,2048064,36013,0,1282,3,30100,13,4000.0,16.0,4.0,1.0,18800.0,6.0,2,1,,"sc_13_('high',)",
36013030100i594,79.0,f,36013030100h1340,10.0,36013030100h1340,True,2048089,36013,0,381,4,30100,13,16000.0,18.0,1.0,1.0,157800.0,10.0,0,1,,,
36013030100i607,24.0,m,36013030100h717,4.0,36013035700w7,True,2048103,36013,1,1138,1,30100,13,25000.0,16.0,1.0,1.0,25000.0,4.0,0,1,wp_176_1,,
36013030100i616,35.0,m,36013030100h282,1.0,36013030100w19,True,2048112,36013,1,655,3,30100,13,60000.0,20.0,1.0,1.0,247300.0,1.0,1,1,wp_185_1,,
36013030100i623,52.0,f,36013030100h147,0.0,36013030100h147,True,2048119,36013,0,505,2,30100,13,58000.0,20.0,1.0,1.0,124800.0,0.0,0,1,wp_69_1,,
36013030100i624,12.0,m,36013030100h366,1.0,36013030100s1,True,2048120,36013,0,748,7,30100,13,4800.0,13.0,1.0,1.0,174310.0,1.0,5,1,,"sc_11_('middle',)",
36013030100i632,54.0,f,36013030100h349,1.0,36013030100h349,True,2048128,36013,0,729,5,30100,13,0.0,20.0,1.0,2.0,153560.0,1.0,3,1,wp_86_1,,
36013030100i636,29.0,m,36013030100h143,0.0,36013030400w4,True,2048130,36013,1,480,4,30100,13,76000.0,21.0,1.0,1.0,141000.0,0.0,0,1,wp_22_1,,
36013030100i647,69.0,m,36013030100h226,0.0,36029011500w90,True,2048142,36013,1,593,2,30100,13,81100.0,19.0,1.0,1.0,97660.0,0.0,0,1,,,
36013030100i657,11.0,f,36013030100h1260,9.0,36013030100s0,True,2048152,36013,0,292,3,30100,13,0.0,13.0,3.0,1.0,127660.0,9.0,2,1,,"sc_1_('elementary',)",
36013030100i663,48.0,f,36013030100h442,2.0,36013030100h442,True,2048158,36013,0,833,2,30100,13,200.0,6.0,1.0,1.0,30200.0,2.0,0,1,wp_125_1,,
36013030100i680,79.0,m,36013030100h526,3.0,36029009601w647,True,2048175,36013,1,926,5,30100,13,10700.0,18.0,1.0,1.0,155610.0,3.0,3,1,,,
36013030100i687,15.0,f,36013030100h349,1.0,36013030100s1,True,2048182,36013,0,729,5,30100,13,1000.0,13.0,1.0,1.0,153560.0,1.0,3,1,,"sc_14_('high',)",
36013030100i714,14.0,m,36013030100h1233,9.0,36013030200s0,True,2048209,36013,0,262,2,30100,13,4000.0,19.0,1.0,1.0,15000.0,9.0,1,1,,"sc_8_('middle',)",
36013030100i719,12.0,m,36013030100h299,1.0,36013030200s0,True,2048214,36013,0,673,4,30100,13,800.0,14.0,3.0,1.0,155800.0,1.0,2,1,,"sc_8_('middle',)",
36013030100i746,16.0,f,36013030100h527,3.0,36013030100s1,True,2048242,36013,0,927,5,30100,13,3000.0,16.0,1.0,1.0,117000.0,3.0,3,1,,"sc_14_('high',)",
36013030100i763,74.0,m,36013030100h801,5.0,36013037300w9,True,2048259,36013,1,1232,1,30100,13,14200.0,16.0,9.0,1.0,14200.0,5.0,0,1,,,
36013030100i767,37.0,m,36013030100h395,2.0,36013030100h395,True,2048263,36013,0,780,2,30100,13,65000.0,16.0,1.0,1.0,70000.0,2.0,0,1,wp_64_1,,
36013030100i774,26.0,f,36013030100h142,0.0,36013030300w17,True,2048271,36013,1,469,2,30100,13,76000.0,21.0,2.0,1.0,126000.0,0.0,0,1,wp_46_1,,
36013030100i780,67.0,m,36013030100h792,5.0,36013030500w10,True,2048277,36013,1,1221,1,30100,13,-900.0,24.0,6.0,1.0,-900.0,5.0,0,1,,,
36013030100i807,60.0,m,36013030100h1304,10.0,36013030300w20,True,2048303,36013,1,341,3,30100,13,40000.0,16.0,1.0,1.0,103200.0,10.0,0,1,wp_170_1,,
36013030100i808,14.0,m,36013030100h496,3.0,36013030200s0,True,2048304,36013,0,892,6,30100,13,350.0,13.0,1.0,1.0,41850.0,3.0,4,1,,"sc_9_('middle',)",
36013030100i836,19.0,f,36013030100h1411,10.0,36013030100h1411,True,2048331,36013,0,460,4,30100,13,5000.0,20.0,1.0,1.0,66300.0,10.0,0,1,wp_189_1,,
36013030100i844,33.0,f,36013030100h494,3.0,36013030100h494,True,2048340,36013,0,890,6,30100,13,57000.0,21.0,1.0,1.0,182570.0,3.0,4,1,wp_5_1,,
36013030100i863,66.0,m,36013030100h219,0.0,36013036600w2,True,2048360,36013,1,585,2,30100,13,95000.0,19.0,1.0,1.0,195000.0,0.0,0,1,,,
36013030100i869,15.0,m,36013030100h286,1.0,36013030100s1,True,2048364,36013,0,659,4,30100,13,520.0,13.0,2.0,1.0,168920.0,1.0,2,1,,"sc_12_('high',)",
36013030100i896,61.0,f,36013030100h305,1.0,36013030100h305,True,2048393,36013,0,681,3,30100,13,23400.0,19.0,1.0,1.0,67000.0,1.0,1,1,wp_194_1,,
36013030100i902,48.0,m,36013030100h349,1.0,36013030100h349,True,2048399,36013,0,729,5,30100,13,31800.0,16.0,1.0,1.0,153560.0,1.0,3,1,wp_113_1,,
36013030100i912,48.0,f,36013030100h514,3.0,36013030100h514,True,2048407,36013,0,913,5,30100,13,0.0,19.0,1.0,1.0,67230.0,3.0,3,1,wp_199_1,,
36013030100i917,4.0,f,36013030100h841,6.0,36013030100d1,True,2048411,36013,0,1276,3,30100,13,90000.0,23.0,6.0,1.0,106500.0,6.0,2,1,,,dc_19_1
36013030100i936,55.0,f,36013030100h299,1.0,36013030100h299,True,2048430,36013,0,673,4,30100,13,23000.0,16.0,1.0,1.0,155800.0,1.0,2,1,wp_11_1,,
36013030100i946,86.0,f,36013030100h181,0.0,36013030100h181,True,2048438,36013,0,543,2,30100,13,31700.0,21.0,6.0,1.0,135700.0,0.0,0,1,,,
36013030100i952,14.0,m,36013030100h847,6.0,36013030200s0,True,2048443,36013,0,1282,3,30100,13,5000.0,14.0,1.0,1.0,18800.0,6.0,2,1,,"sc_11_('middle',)",
36013030100i954,36.0,m,36013030100h1416,10.0,36013030100h1416,True,2048445,36013,0,465,3,30100,13,31000.0,20.0,1.0,1.0,94000.0,10.0,0,1,wp_170_1,,
36013030100i957,86.0,m,36013030100h547,3.0,36031961002w2,True,2048448,36013,1,949,8,30100,13,17500.0,17.0,1.0,1.0,177860.0,3.0,5,1,,,
36013030100i967,54.0,m,36013030100h1297,10.0,36013030100h1297,True,2048458,36013,0,332,4,30100,13,27000.0,20.0,6.0,1.0,38000.0,10.0,0,1,wp_94_1,,
36013030100i968,62.0,m,36013030100h841,6.0,36013030300w16,True,2048459,36013,1,1276,3,30100,13,16000.0,8.0,1.0,1.0,106500.0,6.0,2,1,wp_64_1,,
36013030100i975,35.0,f,36013030100h1002,7.0,36029015202w61,True,2048467,36013,1,6,1,30100,13,31000.0,16.0,1.0,1.0,31000.0,7.0,0,1,wp_51_1,,
36013030100i984,61.0,f,36013030100h1189,9.0,36013030400w1,True,2048477,36013,1,212,2,30100,13,13000.0,20.0,4.0,1.0,52000.0,9.0,1,1,wp_195_1,,
36013030100i996,28.0,m,36013030100h494,3.0,36013037000w20,True,2048489,36013,1,890,6,30100,13,7720.0,18.0,1.0,2.0,182570.0,3.0,4,1,wp_84_1,,
36013030100i1008,12.0,f,36013030100h515,3.0,36013030200s0,True,2045441,36013,0,914,5,30100,13,350.0,13.0,1.0,1.0,104750.0,3.0,3,1,,"sc_11_('middle',)",
36013030100i1029,45.0,m,36013030100h107,0.0,36013030400w6,True,2045461,36013,1,80,2,30100,13,90000.0,21.0,1.0,1.0,97000.0,0.0,0,1,wp_19_1,,
36013030100i1036,50.0,f,36013030100h1393,10.0,36013030100h1393,True,2045468,36013,0,439,3,30100,13,89000.0,20.0,7.0,1.0,150900.0,10.0,0,1,wp_107_1,,
36013030100i1041,17.0,m,36013030100h286,1.0,36013030100s1,True,2045473,36013,0,659,4,30100,13,400.0,14.0,1.0,1.0,168920.0,1.0,2,1,,"sc_13_('high',)",
36013030100i1091,19.0,f,36013030100h1413,10.0,36013030100h1413,True,2045525,36013,0,462,4,30100,13,400.0,14.0,8.0,1.0,59200.0,10.0,0,1,wp_17_1,,
36013030100i1097,5.0,f,36013030100h366,1.0,36013030100s1,True,2045531,36013,0,748,7,30100,13,45310.0,18.0,1.0,2.0,174310.0,1.0,5,1,,,
36013030100i1103,28.0,f,36013030100h1411,10.0,36003951100w2,True,2045537,36013,1,460,4,30100,13,2000.0,21.0,3.0,1.0,66300.0,10.0,0,1,wp_54_1,,
36013030100i1107,49.0,m,36013030100h442,2.0,36013030100h442,True,2045541,36013,0,833,2,30100,13,30000.0,21.0,1.0,1.0,30200.0,2.0,0,1,wp_131_1,,
36013030100i1110,12.0,m,36013030100h310,1.0,36013030100s1,True,2045545,36013,0,687,5,30100,13,4500.0,12.0,1.0,1.0,186600.0,1.0,2,1,,"sc_11_('middle',)",
36013030100i1114,66.0,m,36013030100h852,6.0,36013030100h852,True,2045549,36013,0,1288,2,30100,13,55000.0,24.0,2.0,1.0,69000.0,6.0,1,1,,,
36013030100i1118,89.0,f,36013030100h20,0.0,36013030100w18,True,2045551,36013,1,564,2,30100,13,133500.0,17.0,6.0,1.0,153500.0,0.0,0,1,,,
36013030100i1122,47.0,m,36013030100h1433,10.0,36013030100h1433,True,2045556,36013,0,484,5,30100,13,164500.0,24.0,1.0,1.0,227920.0,10.0,1,1,wp_191_1,,
36013030100i1177,20.0,f,36013030100h1333,10.0,36013030100h1333,True,2045608,36013,0,373,2,30100,13,13060.0,21.0,1.0,1.0,53060.0,10.0,0,1,wp_203_1,,
36013030100i1192,52.0,f,36013030100h58,0.0,36013030100h58,True,2045624,36013,0,985,2,30100,13,0.0,24.0,9.0,1.0,138050.0,0.0,0,1,wp_217_1,,
36013030100i1210,89.0,f,36013030100h431,2.0,36013037300w18,True,2045640,36013,1,821,2,30100,13,51800.0,20.0,2.0,1.0,95900.0,2.0,0,1,,,
36013030100i1228,55.0,f,36013030100h272,1.0,36013030100h272,True,2045656,36013,0,644,4,30100,13,82000.0,22.0,2.0,1.0,104300.0,1.0,2,1,wp_134_1,,
36013030100i1240,70.0,m,36013030100h1411,10.0,36013030100h1411,True,2045665,36013,0,460,4,30100,13,37300.0,19.0,1.0,1.0,66300.0,10.0,0,1,,,
36013030100i1252,35.0,f,36013030100h1433,10.0,36013030100h1433,True,2045677,36013,0,484,5,30100,13,0.0,21.0,9.0,1.0,227920.0,10.0,1,1,wp_56_1,,
36013030100i1266,68.0,m,36013030100h1340,10.0,36013030100h1340,True,2045690,36013,0,381,4,30100,13,52000.0,24.0,2.0,1.0,157800.0,10.0,0,1,,,
36013030100i1278,60.0,f,36013030100h1367,10.0,36013030100h1367,True,2045703,36013,0,410,2,30100,13,73250.0,20.0,1.0,1.0,169250.0,10.0,0,1,wp_29_1,,
36013030100i1295,72.0,f,36013030100h527,3.0,36055001300w33,True,2045720,36013,1,927,5,30100,13,8000.0,17.0,1.0,1.0,117000.0,3.0,3,1,,,
36013030100i1299,5.0,m,36013030100h547,3.0,36013030100s1,True,2045722,36013,0,949,8,30100,13,52000.0,21.0,1.0,1.0,177860.0,3.0,5,1,,,
36013030100i1308,16.0,f,36013030100h272,1.0,36013030500s0,True,2045732,36013,0,644,4,30100,13,800.0,14.0,1.0,1.0,104300.0,1.0,2,1,,"sc_16_('high',)",
36013030100i1327,46.0,f,36013030100h419,2.0,36013030100h419,True,2045752,36013,0,807,3,30100,13,40000.0,20.0,4.0,1.0,76400.0,2.0,0,1,wp_59_1,,
36013030100i1345,56.0,f,36013030100h1295,10.0,36065020300w115,True,2045770,36013,1,330,2,30100,13,45000.0,20.0,3.0,1.0,95000.0,10.0,0,1,wp_197_1,,
36013030100i1350,80.0,f,36013030100h1340,10.0,36013030100h1340,True,2045776,36013,0,381,4,30100,13,57800.0,16.0,1.0,1.0,157800.0,10.0,0,1,,,
36013030100i1357,17.0,m,36013030100h547,3.0,36013030100s1,True,2045783,36013,0,949,8,30100,13,260.0,18.0,1.0,1.0,177860.0,3.0,5,1,,"sc_16_('high',)",
36013030100i1397,10.0,m,36013030100h514,3.0,36013030100s1,True,2045820,36013,0,913,5,30100,13,26000.0,16.0,1.0,1.0,67230.0,3.0,3,1,,"sc_3_('elementary',)",
36013030100i1402,66.0,m,36013030100h745,5.0,36013030100w20,True,2045826,36013,1,1169,1,30100,13,0.0,18.0,5.0,2.0,0.0,5.0,0,1,,,
36013030100i1412,28.0,f,36013030100h1297,10.0,36013030100h1297,True,2045833,36013,0,332,4,30100,13,0.0,18.0,4.0,1.0,38000.0,10.0,0,1,wp_4_1,,
36013030100i1415,26.0,m,36013030100h1393,10.0,36013030100h1393,True,2045836,36013,0,439,3,30100,13,20000.0,21.0,6.0,1.0,150900.0,10.0,0,1,wp_102_1,,
36013030100i1423,33.0,m,36013030100h1433,10.0,36013030100h1433,True,2045843,36013,0,484,5,30100,13,63000.0,20.0,1.0,1.0,227920.0,10.0,1,1,wp_65_1,,
36013030100i1441,3.0,m,36013030100h547,3.0,36013030100d0,True,2045859,36013,0,949,8,30100,13,41200.0,1.0,1.0,2.0,177860.0,3.0,5,1,,,dc_29_1
36013030100i1448,8.0,m,36013030100h1249,9.0,36013030100s1,True,2045865,36013,0,279,2,30100,13,111000.0,22.0,1.0,1.0,151000.0,9.0,1,1,,"sc_6_('elementary',)",
36013030100i1453,53.0,f,36013030100h484,2.0,36013030100h484,True,2045871,36013,0,879,3,30100,13,24600.0,16.0,1.0,1.0,32100.0,2.0,0,1,wp_109_1,,
36013030100i1455,44.0,m,36013030100h648,4.0,36013037000w16,True,2045873,36013,1,1061,1,30100,13,6000.0,19.0,1.0,1.0,6000.0,4.0,0,1,wp_1_1,,
36013030100i1492,16.0,m,36013030100h852,6.0,36013030100s1,True,2045912,36013,0,1288,2,30100,13,14000.0,16.0,1.0,1.0,69000.0,6.0,1,1,,"sc_15_('high',)",
36013030100i1500,62.0,m,36013030100h1367,10.0,36013030700w9,True,2045922,36013,1,410,2,30100,13,96000.0,16.0,1.0,1.0,169250.0,10.0,0,1,wp_216_1,,
36013030100i1501,18.0,m,36013030100h1413,10.0,36013030100h1413,True,2045923,36013,0,462,4,30100,13,100.0,16.0,1.0,1.0,59200.0,10.0,0,1,wp_146_1,"sc_14_('high',)",
36013030100i1504,2.0,f,36013030100h366,1.0,36013030100d0,True,2045926,36013,0,748,7,30100,13,45200.0,16.0,1.0,1.0,174310.0,1.0,5,1,,,dc_18_1
36013030100i1505,76.0,m,36013030100h22,0.0,36013030100h22,True,2045927,36013,0,586,3,30100,13,10800.0,19.0,3.0,1.0,92600.0,0.0,0,1,,,
36013030100i1517,1.0,f,36013030100h527,3.0,36013030100d0,True,2045939,36013,0,927,5,30100,13,84800.0,21.0,6.0,1.0,117000.0,3.0,3,1,,,dc_6_1
36013030100i1525,71.0,m,36013030100h279,1.0,36013030100h279,True,2045948,36013,0,651,6,30100,13,40600.0,20.0,1.0,1.0,156780.0,1.0,3,1,,,
36013030100i1534,4.0,m,36013030100h349,1.0,36013030100d0,True,2045956,36013,0,729,5,30100,13,99060.0,19.0,5.0,1.0,153560.0,1.0,3,1,,,dc_9_1
36013030100i1538,14.0,m,36013030100h489,3.0,36013030200s0,False,2045960,36013,0,884,3,30100,13,0.0,14.0,1.0,1.0,109600.0,3.0,1,1,,"sc_10_('middle',)",
36013030100i1570,77.0,m,36013030100h74,0.0,36119013201w153,True,2045995,36013,1,1163,3,30100,13,34800.0,13.0,1.0,1.0,209900.0,0.0,0,1,,,
36013030100i1572,72.0,f,36013030100h1386,10.0,36013037200w18,True,2045997,36013,1,431,5,30100,13,14500.0,13.0,1.0,1.0,98400.0,10.0,0,1,,,
36013030100i1574,45.0,m,36013030100h514,3.0,36013030200w0,True,2045998,36013,1,913,5,30100,13,35730.0,18.0,3.0,1.0,67230.0,3.0,3,1,wp_104_1,,
36013030100i1604,14.0,m,36013030100h514,3.0,36013030100s1,True,2046026,36013,0,913,5,30100,13,1000.0,13.0,1.0,1.0,67230.0,3.0,3,1,,"sc_8_('middle',)",
36013030100i1623,88.0,m,36013030100h431,2.0,36013030100h431,True,2046047,36013,0,821,2,30100,13,44100.0,16.0,1.0,1.0,95900.0,2.0,0,1,,,
36013030100i1633,24.0,m,36013030100h458,2.0,36013035700w16,True,2046057,36013,1,850,2,30100,13,68200.0,22.0,2.0,1.0,118200.0,2.0,0,1,wp_12_1,,
36013030100i1641,23.0,m,36013030100h1333,10.0,36013030100h1333,True,2046065,36013,0,373,2,30100,13,40000.0,20.0,1.0,1.0,53060.0,10.0,0,1,wp_97_1,,
36013030100i1642,26.0,m,36013030100h142,0.0,36013030100h142,True,2046066,36013,0,469,2,30100,13,50000.0,20.0,4.0,1.0,126000.0,0.0,0,1,wp_82_1,,
36013030100i1643,34.0,f,36013030100h1406,10.0,36015011102w1,True,2046067,36013,1,454,2,30100,13,16000.0,22.0,1.0,1.0,43000.0,10.0,0,1,wp_168_1,,
36013030100i1648,9.0,f,36013030100h305,1.0,36013030100s1,True,2046072,36013,0,681,3,30100,13,13000.0,20.0,4.0,1.0,67000.0,1.0,1,1,,"sc_1_('elementary',)",
36013030100i1655,49.0,f,36013030100h22,0.0,36013030100h22,True,2046080,36013,0,586,3,30100,13,30000.0,21.0,2.0,1.0,92600.0,0.0,0,1,wp_22_1,,
36013030100i1678,75.0,f,36013030100h15,0.0,36013036402w17,True,2046104,36013,1,508,2,30100,13,41000.0,18.0,3.0,1.0,83720.0,0.0,0,1,,,
36013030100i1686,41.0,m,36013030100h419,2.0,36013030100h419,True,2046112,36013,0,807,3,30100,13,8400.0,19.0,1.0,1.0,76400.0,2.0,0,1,wp_199_1,,
36013030100i1749,23.0,m,36013030100h450,2.0,36029015900w187,True,2046177,36013,1,842,2,30100,13,16000.0,16.0,1.0,1.0,16480.0,2.0,0,1,wp_69_1,,
36013030100i1751,19.0,m,36013030100h484,2.0,36013030100h484,True,2046180,36013,0,879,3,30100,13,7500.0,19.0,1.0,1.0,32100.0,2.0,0,1,wp_91_1,,
36013030100i1756,31.0,f,36013030100h282,1.0,36013030100h282,True,2046185,36013,0,655,3,30100,13,39000.0,21.0,3.0,1.0,247300.0,1.0,1,1,wp_211_1,,
36013030100i1760,62.0,m,36013030100h1426,10.0,36029009104w77,True,2046190,36013,1,476,3,30100,13,59000.0,16.0,4.0,1.0,147000.0,10.0,0,1,wp_161_1,,
36013030100i1776,9.0,m,36013030100h547,3.0,36013030100s1,True,2046204,36013,0,949,8,30100,13,33000.0,16.0,3.0,1.0,177860.0,3.0,5,1,,"sc_2_('elementary',)",
36013030100i1791,43.0,f,36013030100h110,0.0,36013030100h110,True,2046219,36013,0,114,2,30100,13,87000.0,21.0,4.0,1.0,287000.0,0.0,0,1,wp_6_1,,
36013030100i1796,33.0,f,36013030100h395,2.0,36013030100h395,True,2046223,36013,0,780,2,30100,13,5000.0,21.0,1.0,1.0,70000.0,2.0,0,1,wp_24_1,,
36013030100i1880,10.0,m,36013030100h526,3.0,36013030100s1,True,2046302,36013,0,926,5,30100,13,0.0,19.0,6.0,1.0,155610.0,3.0,3,1,,"sc_1_('elementary',)",
